,word_ru,value
0,покидать,-2
1,заброшенный,-2
2,бросает,-2
3,похищен,-2
4,похищение,-2
5,похищения,-2
6,ненавидеть,-3
7,ненавидел,-3
8,отвратительный,-3
9,ненавидит,-3
10,способности,2
11,способность,2
12,на борту,1
13,прерванный,-1
14,прерывание,-1
15,отсутствующий,-1
16,отсутствующие,-1
17,прощать,2
18,отпущен,2
19,снимает,2
20,прощающий,2
21,поглощен,1
22,злоупотреблять,-3
23,злоупотребляли,-3
24,злоупотребления,-3
25,злоупотребление,-3
26,оскорбительный,-3
27,принимать,1
28,приемлемо,1
29,принятие,1
30,принято,1
31,принимая,1
32,принимает,1
33,доступный,1
34,несчастный случай,-2
35,случайный,-2
36,случайно,-2
37,несчастные случаи,-2
38,признание,2
39,признанный,2
40,похвала,2
41,выполнить,2
42,удавшийся,2
43,выполняет,2
44,достижение,2
45,достижения,2
46,обвинение,-2
47,обвинения,-2
48,обвинять,-2
49,обвиняемый,-2
50,обвиняет,-2
51,обвиняя,-2
52,болеть,-2
53,достижимый,1
54,болит,-2
55,приобретенный,2
56,оправдывает,2
57,оправдан,2
58,оправдание,2
59,язвительный,-3
60,активный,1
61,адекватный,1
62,восхищаться,3
63,восхищался,3
64,восхищается,3
65,восхищаясь,3
66,признаться,-1
67,допускает,-1
68,допущенный,-1
69,увещевать,-2
70,предупреждал,-2
71,усыновить,1
72,принимает,1
73,восхитительный,3
74,обожание,3
75,обожать,3
76,обожаемый,3
77,обожает,3
78,обожающий,3
79,с обожанием,3
80,передовой,1
81,преимущество,2
82,выгодный,2
83,выгодно,2
84,преимущества,2
85,приключение,2
86,приключения,2
87,авантюрный,2
88,противник,-1
89,желательно,1
90,затронутый,-1
91,привязанность,3
92,любящий,3
93,нежность,3
94,пораженный,-1
95,доступный,2
96,оскорблен,-1
97,любители,2
98,боятся,-2
99,усугублять,-2
100,обостренный,-2
101,обостряет,-2
102,отягчающий,-2
103,агрессия,-2
104,агрессия,-2
105,агрессивный,-2
106,агрессивность,-2
107,в ужасе,-2
108,взволнованный,2
109,мучиться,-3
110,мучительный,-3
111,агонии,-3
112,мучительный,-3
113,мучиться,-3
114,мучительный,-3
115,агонизирует,-3
116,мучительный,-3
117,соглашаться,1
118,приятный,2
119,согласовано,1
120,соглашение,1
121,соглашается,1
122,тревога,-2
123,встревоженный,-2
124,паникер,-2
125,паникеры,-2
126,увы,-1
127,тревога,-1
128,отчуждение,-2
129,в живых,1
130,обвинение,-2
131,обвинения,-2
132,аллергический,-2
133,разрешать,1
134,союзник,2
135,в одиночестве,-2
136,альтруистический,2
137,удивлять,2
138,пораженный,2
139,поражает,2
140,удивительный,4
141,честолюбивый,2
142,амбивалентный,-1
143,дружелюбный,2
144,изумленный,3
145,изумленный,3
146,развлечение,3
147,развлечения,3
148,злость,-3
149,возмущенный,-3
150,злит,-3
151,сердитый,-3
152,тоска,-3
153,мучительный,-3
154,враждебность,-2
155,раздражать,-2
156,раздражение,-2
157,раздраженный,-2
158,раздражающий,-2
159,раздражает,-2
160,антагонистический,-2
161,анти,-1
162,ожидание,1
163,беспокойство,-2
164,тревожный,-2
165,апатичный,-3
166,апатия,-3
167,апешит,-3
168,апокалиптический,-2
169,извиняться,-1
170,извинился,-1
171,извиняется,-1
172,извиняюсь,-1
173,извиняться,-1
174,извинился,-1
175,извиняется,-1
176,извиняюсь,-1
177,извинения,-1
178,потрясен,-2
179,ужасающий,-2
180,привлекательный,2
181,успокаивать,2
182,умиротворенный,2
183,успокаивает,2
184,умиротворение,2
185,аплодировать,2
186,аплодировал,2
187,аплодисменты,2
188,аплодирует,2
189,аплодисменты,2
190,ценить,2
191,оценил,2
192,ценит,2
193,ценить,2
194,признательность,2
195,опасающийся,-2
196,соответствующий,2
197,соответственно,2
198,одобрение,2
199,одобренный,2
200,одобряет,2
201,пылкий,1
202,арестовать,-2
203,арестован,-3
204,аресты,-2
205,высокомерный,-2
206,мудак,-4
207,позор,-2
208,стыдящийся,-2
209,жопа,-4
210,убийство,-3
211,убийства,-3
212,атаковать,-2
213,нападения,-2
214,актив,2
215,ресурсы,2
216,жопу,-4
217,Мудак,-4
218,пораженный,2
219,поразить,3
220,изумлен,3
221,поразительный,3
222,поразительно,3
223,поражает,3
224,ужасный,-3
225,зверство,-3
226,атака,-1
227,атаковали,-1
228,атакующий,-1
229,нападения,-1
230,привлекать,1
231,привлек,1
232,привлечение,2
233,достопримечательности,2
234,достопримечательности,2
235,привлекательный,2
236,привлекательно,2
237,привлекательность,2
238,привлекает,1
239,дерзкий,3
240,аура,1
241,власть,1
242,отомстить,-2
243,отомстил,-2
244,мститель,-2
245,мстители,-2
246,мстит,-2
247,мщение,-2
248,предотвращать,-1
249,предотвращенный,-1
250,предотвращает,-1
251,заядлый,2
252,избегать,-1
253,избегали,-1
254,избегает,-1
255,Ждите,-1
256,ждал,-1
257,ждет,-1
258,награда,3
259,награжден,3
260,награды,3
261,классно,4
262,ужасный,-3
263,неуклюжий,-2
264,топор,-1
265,топор,-1
266,поддержанный,1
267,поддержка,2
268,спины,1
269,плохой,-3
270,неудача,-2
271,задира,-3
272,плохо,-3
273,злоба,-3
274,спасение,-2
275,сбалансированный,1
276,обман,-2
277,обманутый,-2
278,обман,-2
279,запретить,-2
280,изгнать,-1
281,банкрот,-3
282,банкротство,-3
283,банкстер,-3
284,запрещен,-2
285,варвар,-2
286,варварский,-2
287,варварский,-2
288,торговаться,2
289,барьер,-2
290,сволочь,-5
291,ублюдки,-5
292,боевой,-1
293,сражался,-1
294,битвы,-1
295,борьба,-2
296,избитый,-2
297,блаженный,3
298,избиение,-1
299,красавицы,3
300,красивая,3
301,красиво,3
302,украсить,3
303,Красота,3
304,подобает,2
305,подобающий,2
306,принижать,-2
307,приниженный,-2
308,возлюбленный,3
309,благотворитель,2
310,благотворители,2
311,выгода,2
312,преимущества,2
313,выиграл,2
314,приносящий пользу,2
315,доброжелательный,3
316,лишать,-2
317,понесший утрату,-2
318,братья,-2
319,тяжелая утрата,-2
320,Лучший,3
321,лучший черт,4
322,предавать,-3
323,предательство,-3
324,предали,-3
325,предательство,-3
326,предает,-3
327,лучше,2
328,предвзятость,-1
329,пристрастный,-2
330,большой,1
331,сука,-5
332,суки,-5
333,Горький,-2
334,горький,-2
335,горько,-2
336,причудливый,-2
337,шантажировать,-3
338,шантажировали,-3
339,шантаж,-3
340,шантажирует,-3
341,бла,-2
342,обвинять,-2
343,обвиняли,-2
344,обвиняет,-2
345,обвиняя,-2
346,благословить,2
347,благословляет,2
348,благословение,3
349,благословения,3
350,слепой,-1
351,блаженство,3
352,блаженный,3
353,беспечный,2
354,раздутый,-1
355,блокировать,-1
356,блокада,-2
357,блокбастер,3
358,заблокирован,-1
359,блокировка,-1
360,блоки,-1
361,кровавый,-3
362,расплывчатый,-2
363,хвастливый,-2
364,смелый,2
365,смело,2
366,бомбить,-1
367,увеличение,1
368,усиленный,1
369,повышение,1
370,повышает,1
371,сверлить,-2
372,скучающий,-2
373,скучный,-3
374,беспокоить,-2
375,беспокоил,-2
376,беспокоит,-2
377,надоедливый,-2
378,бойкотировать,-2
379,бойкотируется,-2
380,бойкотирование,-2
381,бойкоты,-2
382,промывание мозгов,-3
383,Храбрый,2
384,храбрость,2
385,храбрость,2
386,бравура,3
387,нарушение,-2
388,пробитый,-2
389,нарушения,-2
390,нарушение,-2
391,прорвать,3
392,захватывающий дух,5
393,взятка,-3
394,подкуплен,-3
395,взятки,-3
396,подкуп,-3
397,яркий,1
398,самый яркий,2
399,яркость,1
400,блестящий,4
401,блеск,3
402,блеск,3
403,бойкий,2
404,сломанный,-1
405,сломанный,-1
406,задумчивый,-2
407,жестокий,-3
408,жестоко,-3
409,издеваются,-2
410,фигня,-4
411,терроризировать,-2
412,издевательства,-2
413,облом,-2
414,жизнерадостный,2
415,груз,-2
416,обремененный,-2
417,отягощение,-2
418,бремя,-2
419,грабитель,-2
420,кража со взломом,-2
421,спокойствие,2
422,успокаивается,2
423,успокаивающий,2
424,успокаивает,2
425,терпеть не могу,-3
426,отменить,-1
427,отменен,-1
428,отмена,-1
429,отменяет,-1
430,рак,-1
431,возможности,1
432,способность,1
433,способный,1
434,очарованный,3
435,уход,2
436,беззаботный,1
437,осторожный,2
438,осторожно,2
439,осторожность,2
440,беспечный,-2
441,заботы,2
442,заботливый,2
443,обналичивание,-2
444,несчастный случай,-2
445,катастрофа,-3
446,катастрофический,-4
447,осторожный,-1
448,праздновать,3
449,праздновал,3
450,празднует,3
451,празднование,3
452,празднование,3
453,торжества,3
454,цензор,-2
455,подвергнутый цензуре,-2
456,цензоры,-2
457,определенный,1
458,огорчение,-2
459,огорченный,-2
460,испытание,-1
461,чемпион,2
462,отстаивал,2
463,чемпионы,2
464,шанс,2
465,шансы,2
466,хаос,-2
467,хаотичный,-2
468,заряжен,-3
469,обвинения,-2
470,харизма,2
471,благотворительный,2
472,очарование,3
473,очаровательный,3
474,очаровательно,3
475,бесхитростный,-3
476,наказывать,-3
477,наказан,-3
478,наказывает,-3
479,наказание,-3
480,изменять,-3
481,обманутый,-3
482,мошенник,-3
483,мошенники,-3
484,списывание,-3
485,читы,-3
486,радость,2
487,приветствовал,2
488,жизнерадостный,2
489,весело,2
490,аплодисменты,2
491,унылый,-2
492,ваше здоровье,2
493,веселый,3
494,ценить,2
495,заветный,2
496,лелеет,2
497,лелеять,2
498,шикарный,2
499,упрекать,-3
500,упрекнул,-3
501,упрекает,-3
502,упрекать,-3
503,по-детски,-2
504,отдыхающий,-1
505,удушение,-2
506,задохнулся,-2
507,задыхается,-2
508,задыхаясь,-2
509,проясняет,2
510,ясность,2
511,столкновение,-2
512,классный,3
513,чистый,2
514,очиститель,2
515,Очистить,1
516,очищен,1
517,четко,1
518,очищает,1
519,умный,2
520,затуманенный,-1
521,невежественный,-2
522,петух,-5
523,хуесос,-5
524,хуесосы,-5
525,дерзкий,-2
526,по принуждению,-2
527,принуждение,-2
528,крах,-2
529,рухнул,-2
530,рушится,-2
531,рушится,-2
532,столкнуться,-1
533,сталкивается,-1
534,столкновение,-1
535,столкновение,-2
536,столкновения,-2
537,сговор,-3
538,сражаться,-1
539,поединки,-1
540,комедия,1
541,комфорт,2
542,комфортный,2
543,удобно,2
544,утешительный,2
545,удобства,2
546,комикс,1
547,хвалить,2
548,одобрил,2
549,совершить,1
550,обязательство,2
551,совершает,1
552,преданный идее,1
553,совершение,1
554,сострадание,2
555,сострадательный,2
556,вынужден,1
557,компетенции,1
558,компетентный,2
559,конкурентный,2
560,самодовольный,-2
561,жаловаться,-2
562,жаловался,-2
563,жалуясь,-2
564,жалуется,-2
565,жалоба,-2
566,жалобы,-2
567,усложняющий,-2
568,комплимент,2
569,похвалил,2
570,комплименты,2
571,всесторонний,2
572,обеспокоенный,-2
573,примирить,2
574,примиренный,2
575,примиряет,2
576,примирение,2
577,осуждать,-2
578,осуждение,-2
579,осужден,-2
580,осуждает,-2
581,уверенность,2
582,уверенный,2
583,уверенно,2
584,конфликт,-2
585,противоречивый,-2
586,противоречивый,-2
587,конфликты,-2
588,сбивать с толку,-2
589,смущенный,-2
590,сбивает с толку,-2
591,поздравляю,2
592,поздравлять,2
593,поздравление,2
594,поздравляю,2
595,согласие,2
596,соглашается,2
597,утешительный,2
598,заговор,-3
599,запор,-2
600,сдержанный,-2
601,зараза,-2
602,заразы,-2
603,заразительный,-1
604,загрязнитель,-2
605,загрязняющие вещества,-2
606,загрязнять,-2
607,загрязненный,-2
608,загрязняет,-2
609,загрязняющий,-2
610,загрязнение,-2
611,загрязнения,-2
612,презрение,-2
613,презренный,-2
614,презрительный,-2
615,презрительно,-2
616,бороться,-1
617,соперник,-1
618,спорящий,-1
619,спорный,-2
620,оспариваемый,-2
621,спорный,-2
622,спорно,-2
623,споры,-2
624,полемика,-2
625,осужден,-2
626,убеждать,1
627,убежденный,1
628,убеждает,1
629,праздничный,2
630,здорово,1
631,крутая вещь,3
632,загнанный в угол,-2
633,труп,-1
634,испорченный,-3
635,испорченный,-3
636,развращающий,-3
637,коррупция,-3
638,развращает,-3
639,дорогостоящий,-2
640,храбрость,2
641,смелый,2
642,мужественно,2
643,смелость,2
644,учтивый,2
645,учтивость,2
646,прикройся,-3
647,трусливый,-2
648,трусливый,-2
649,уют,2
650,судорога,-1
651,дерьмо,-3
652,дерьмовый,-3
653,крушение,-2
654,сумасшедший,-2
655,самый сумасшедший,-2
656,псих,-2
657,творческий,2
658,удрученный,-2
659,плакала,-2
660,плачет,-2
661,преступление,-3
662,преступления,-3
663,уголовное,-3
664,преступники,-3
665,обвинять,-3
666,обвинен,-3
667,обвиняет,-3
668,кризис,-3
669,критик,-2
670,критиковать,-2
671,критиковали,-2
672,критикует,-2
673,критикуя,-2
674,критика,-2
675,критиковать,-2
676,критиковали,-2
677,критикует,-2
678,критикуя,-2
679,критики,-2
680,критика,-2
681,теснота,-1
682,сырой,-1
683,жестокий,-3
684,жестокость,-3
685,раздавить,-1
686,раздавлен,-2
687,сокрушает,-1
688,сокрушительный,-1
689,плакать,-1
690,плач,-2
691,хитрость,2
692,пизда,-5
693,любопытный,1
694,проклинать,-1
695,резать,-1
696,сокращать,-2
697,сокращения,-2
698,милый,2
699,порезы,-1
700,резка,-1
701,циник,-2
702,циничный,-2
703,цинизм,-2
704,повреждать,-3
705,поврежден,-3
706,убытки,-3
707,разрушительный,-3
708,проклятие,-2
709,чертовски мила,3
710,чертовски хорошо,4
711,проклятый,-4
712,черт,-4
713,Опасность,-2
714,опасный,-2
715,опасно,-2
716,смельчак,2
717,дерзкий,2
718,самый темный,-2
719,тьма,-1
720,бесстрашный,2
721,ослепительный,3
722,мертвых,-3
723,мертвый,-2
724,тупик,-2
725,смертельно опасный,-3
726,оглушительный,-1
727,Уважаемый,2
728,дорого,3
729,смерть,-2
730,летальные исходы,-2
731,веселый,2
732,долг,-2
733,обман,-3
734,лживый,-3
735,обманывать,-3
736,обманутый,-3
737,обманывает,-3
738,обман,-3
739,обман,-3
740,обманчивый,-3
741,решающий,1
742,преданный,2
743,преданность,2
744,поражение,-2
745,побежден,-2
746,дефект,-3
747,дефектный,-3
748,дефекты,-3
749,защитник,2
750,защитники,2
751,беззащитный,-2
752,откладывать,-1
753,откладывание,-1
754,дерзкий,-1
755,неполноценный,-2
756,недостаток,-2
757,недостатки,-2
758,дефицит,-2
759,деформированный,-2
760,уродства,-2
761,уродство,-2
762,обман,-3
763,обман,-3
764,ловкий,2
765,несуществующий,-2
766,деградировать,-2
767,деградированный,-2
768,деградирует,-2
769,дегуманизировать,-2
770,дегуманизированный,-2
771,дегуманизирует,-2
772,дегуманизирующий,-2
773,унывать,-2
774,удрученный,-2
775,унылый,-2
776,отклоняет,-2
777,задерживать,-1
778,с задержкой,-1
779,восхитительный,3
780,очень вкусно,3
781,восторг,3
782,получивший удовольствие,3
783,восхитительный,3
784,восхитительно,3
785,восхищение,3
786,восторги,3
787,потребность,-1
788,потребовал,-1
789,требовательный,-1
790,требования,-1
791,демонстрация,-1
792,деморализовать,-2
793,деморализованный,-2
794,деморализует,-2
795,деморализующий,-2
796,отрицание,-2
797,отрицания,-2
798,отклонен,-2
799,денье,-2
800,отрицатели,-2
801,отрицает,-2
802,денонсировать,-2
803,осуждает,-2
804,вмятина,-2
805,Отрицать,-2
806,отрицание,-2
807,сожалеть,-3
808,сожалеет,-3
809,сожалеет,-3
810,сожалея,-3
811,депортировать,-2
812,депортированный,-2
813,депортация,-2
814,депортирует,-2
815,депортация,-2
816,депортации,-2
817,подавленный,-2
818,удручающий,-2
819,лишение,-3
820,сходить с рельсов,-2
821,сошедший с рельсов,-2
822,сходить с рельсов,-2
823,брошенный,-2
824,высмеивать,-2
825,высмеянный,-2
826,высмеивает,-2
827,высмеивая,-2
828,насмешки,-2
829,желательно,2
830,желание,1
831,желанный,2
832,желающий,2
833,отчаяние,-3
834,отчаяние,-3
835,отчаяние,-3
836,отчаянный,-3
837,отчаянно,-3
838,подавленный,-3
839,разрушать,-3
840,уничтожен,-3
841,разрушающий,-3
842,разрушает,-3
843,разрушение,-3
844,разрушительный,-3
845,обособленный,-1
846,задерживать,-2
847,задержан,-2
848,задержание,-2
849,портиться,-2
850,ухудшился,-2
851,ухудшается,-2
852,ухудшение,-2
853,определенный,2
854,средство устрашения,-2
855,отвлекать,-1
856,приниженный,-1
857,умаляет,-1
858,опустошать,-2
859,потрясенный,-2
860,разрушительный,-2
861,опустошение,-2
862,разрушения,-2
863,преданный,3
864,преданность,2
865,религиозный,2
866,алмаз,1
867,Дик,-4
868,придурок,-4
869,в,-3
870,умер,-3
871,трудно,-1
872,застенчивый,-2
873,достоинство,2
874,дилемма,-1
875,трудолюбие,2
876,тупица,-3
877,сказать,-3
878,ужасный,-3
879,грязь,-2
880,грязнее,-2
881,самый грязный,-2
882,грязный,-2
883,инвалидность,-2
884,инвалидность,-2
885,отключение,-1
886,недостаток,-2
887,обездоленный,-2
888,не согласен,-2
889,неприятный,-2
890,несогласие,-2
891,пропадать,-1
892,исчез,-1
893,исчезает,-1
894,разочаровывать,-2
895,расстроен,-2
896,разочаровывающий,-2
897,разочарование,-2
898,разочарования,-2
899,разочаровывает,-2
900,неодобрение,-2
901,отклонения,-2
902,не одобрять,-2
903,не одобрено,-2
904,не одобряет,-2
905,неодобрительно,-2
906,стихийное бедствие,-2
907,бедствия,-2
908,катастрофический,-3
909,не верить,-2
910,отказаться,-1
911,отброшен,-1
912,отбрасывание,-1
913,отбрасывает,-1
914,проницательность,2
915,дискомфорт,-2
916,безутешный,-2
917,безутешность,-2
918,недовольный,-2
919,разлад,-2
920,со скидкой,-1
921,обескураженный,-2
922,дискредитирован,-2
923,различать,-2
924,размеченный,-2
925,различает,-2
926,различающий,-2
927,дискриминационный,-2
928,презрение,-2
929,болезнь,-1
930,болезни,-1
931,позор,-2
932,опозоренный,-2
933,маскировка,-1
934,замаскированный,-1
935,маскировки,-1
936,маскировка,-1
937,отвращение,-3
938,отвращение,-3
939,отвратительный,-3
940,отвратительный,-3
941,разочарованный,-2
942,нечестный,-2
943,разочарованный,-2
944,не склонен,-2
945,разрозненный,-2
946,неприязнь,-2
947,не нравится,-2
948,не любит,-2
949,мрачный,-2
950,встревоженный,-2
951,уволен,-2
952,беспорядок,-2
953,расстройства,-2
954,неорганизованный,-2
955,дезориентирован,-2
956,унижать,-2
957,униженный,-2
958,унижает,-2
959,пренебрежительный,-2
960,недоволен,-2
961,неудовольствие,-2
962,непропорционально,-2
963,спор,-2
964,оспаривается,-2
965,споры,-2
966,спорящий,-2
967,дисквалифицирован,-2
968,беспокоить,-2
969,игнорировать,-2
970,игнорируется,-2
971,игнорируя,-2
972,игнорирует,-2
973,неуважение,-2
974,неуважение,-2
975,нарушить,-2
976,нарушен,-2
977,разрушающий,-2
978,нарушение,-2
979,сбои,-2
980,разрушительный,-2
981,нарушает,-2
982,неудовлетворенный,-2
983,неприятный,-2
984,выдающийся,2
985,искажать,-2
986,искаженный,-2
987,искажающий,-2
988,искажает,-2
989,отвлекать,-2
990,несосредоточенный,-2
991,отвлечение,-2
992,отвлекает,-2
993,страдание,-2
994,огорченный,-2
995,бедствия,-2
996,тревожный,-2
997,недоверие,-3
998,недоверчивый,-3
999,беспокоить,-2
1000,нарушенный,-2
1001,тревожный,-2
1002,беспокоит,-2
1003,дизеринг,-2
1004,отвлекающий,-1
1005,голова кружится,-1
1006,уклонение,-2
1007,хитрый,-2
1008,не работает,-3
1009,мрачный,-2
1010,пожертвовать,2
1011,пожертвованный,2
1012,жертвует,2
1013,пожертвование,2
1014,пожертвование,2
1015,не нравится,-2
1016,рок,-2
1017,обреченный,-2
1018,сомневаться,-1
1019,сомневался,-1
1020,сомнительный,-1
1021,сомневаясь,-1
1022,сомнения,-1
1023,душ,-3
1024,ублюдок,-3
1025,суровый,-2
1026,подавленный,-2
1027,депрессивный,-2
1028,подавленный,-2
1029,обратная сторона,-2
1030,тащить,-1
1031,притащили,-1
1032,тащит,-1
1033,осушенный,-2
1034,страх,-2
1035,страшный,-2
1036,ужасный,-3
1037,бояться,-2
1038,мечтать,1
1039,мечты,1
1040,унылый,-2
1041,обвисший,-2
1042,уронить,-1
1043,упавший,-1
1044,тонуть,-2
1045,утонул,-2
1046,тонет,-2
1047,тяжелая работа,-2
1048,пьяный,-2
1049,сомнительный,-2
1050,бездельник,-2
1051,скучный,-2
1052,тупой,-3
1053,тупица,-3
1054,свалка,-1
1055,сброшен,-2
1056,свалки,-1
1057,обмануть,-2
1058,обманутый,-2
1059,обманщики,-2
1060,прочный,2
1061,умирающий,-3
1062,дисфункция,-2
1063,жаждущий,2
1064,серьезный,2
1065,простота,2
1066,легко,1
1067,восторженный,4
1068,жуткий,-2
1069,жутко,-2
1070,эффективный,2
1071,эффективно,2
1072,эффективность,2
1073,легко,2
1074,приподнятый,3
1075,восторг,3
1076,элегантный,2
1077,элегантно,2
1078,смущать,-2
1079,смущенный,-2
1080,смущает,-2
1081,смущающий,-2
1082,смущение,-2
1083,растрата,-3
1084,озлоблен,-2
1085,объятие,1
1086,крайняя необходимость,-2
1087,чуткий,2
1088,уполномочивать,2
1089,расширение прав и возможностей,2
1090,пустота,-1
1091,пустой,-1
1092,очарованный,2
1093,поощрять,2
1094,поощряется,2
1095,поощрение,2
1096,поощряет,2
1097,обнадеживающий,2
1098,одобрять,2
1099,одобренный,2
1100,поддержка,2
1101,одобряет,2
1102,враги,-2
1103,враг,-2
1104,энергичный,2
1105,привлекать,1
1106,вовлекает,1
1107,поглощен,1
1108,захватывающий,3
1109,наслаждаться,2
1110,приятный,2
1111,наслаждались,2
1112,наслаждаясь,2
1113,наслаждается,2
1114,просветить,2
1115,просвещенный,2
1116,просвещение,2
1117,просвещает,2
1118,тоска,-2
1119,бесить,-2
1120,разъяренный,-2
1121,бесит,-2
1122,бесить,-2
1123,восхищение,3
1124,порабощать,-2
1125,порабощенный,-2
1126,порабощает,-2
1127,гарантировать,1
1128,обеспечение,1
1129,предприимчивый,1
1130,развлекательный,2
1131,увлекать,3
1132,восторженный,3
1133,уполномоченный,1
1134,доверенный,2
1135,желания,-1
1136,завистливый,-2
1137,экологически чистый,2
1138,завидовать,-1
1139,завидовать,-1
1140,ошибочный,-2
1141,ошибка,-2
1142,ошибки,-2
1143,побег,-1
1144,убегает,-1
1145,побег,-1
1146,почитать,2
1147,уважаемый,2
1148,этический,2
1149,эйфория,3
1150,эйфория,4
1151,эвакуируюсь,-1
1152,эвакуирован,-1
1153,эвакуирует,-1
1154,эвакуация,-1
1155,эвакуация,-1
1156,вечнозеленый,2
1157,вечнозеленые растения,2
1158,вечнозеленый,-3
1159,выселение,-1
1160,зло,-3
1161,усугублять,-2
1162,обостренный,-2
1163,обостряет,-2
1164,обострение,-2
1165,преувеличивать,-2
1166,преувеличенный,-2
1167,преувеличивает,-2
1168,преувеличивая,-2
1169,отдельно,-2
1170,раздраженный,-2
1171,раздражает,-2
